Suite
-0.188397	4.52653
-0.547208	4.68695
-0.863102	4.82818
-0.944589	4.82473
-1.04838	4.78771
-1.15247	4.6165
-1.15815	4.37474
-0.932122	4.04037
-0.916703	4.01627
-0.741248	3.90632
-0.65575	3.87528
-0.579187	3.82647
-0.51627	3.81194
-0.455508	3.78108
-0.129944	3.67954
-0.131549	3.67287
-0.150311	3.54779
-0.219093	3.52647
-0.275684	3.51936
-0.307497	3.42838
-0.272093	3.33039
-0.232252	3.25913
-0.126784	3.11488
-0.0639873	3.03936
-0.00777601	3.00356
0.223975	2.8494
0.229006	2.85398
0.251092	2.8308
0.307818	2.79585
0.344927	2.87096
0.386876	2.84485
0.514117	2.71422
0.749355	2.62725
0.810872	2.40778
0.982319	2.18451
1.10645	2.02985
1.6212	1.61745
1.62648	1.61292
0.770257	3.52984
0.434075	4.1538
0.409291	4.1776
0.185788	4.35924

Suite:BIN
2292331872 3217562982	1588283034 1074928426
643500750 3219227322	2868474872 1074970478
2121505531 3219889799	521719673 1075007501
1407773864 3220060691	3174339939 1075006598
11809418 3220227623	2157999817 1074996894
1158073572 3220336776	2063544242 1074952010
3491196730 3220342726	1450912946 1074888636
1212968396 3220034545	2550475228 1074800982
615876224 3220002209	1628721784 1074794665
2165084880 3219634254	3914781397 1074741284
591598884 3219454952	371896854 1074725009
789947052 3219294387	4095032298 1074699417
4028787504 3219162440	2094469208 1074691804
840162600 3218941705	1187150034 1074675622
383158544 3217072644	850862425 1074622387
1965609584 3217086104	1809962582 1074618888
226901136 3217243488	4041415584 1074553311
1405819392 3217820479	1408527304 1074542135
2059042848 3218187468	3209758753 1074538406
3488569656 3218320904	758387443 1074490708
4332512 3218172408	949814265 1074439332
2227507904 3217930864	987788066 1074401972
1985288992 3217046129	1935689513 1074326343
1868601952 3216007544	3299780377 1074286746
739730432 3212827068	70803898 1074267976
852541056 1070377779	3551919094 1074187155
2702421280 1070419981	2360101181 1074189555
4102202832 1070600674	2502398638 1074177400
1929009840 1070838603	1668602331 1074159076
3337500216 1070994247	4079994142 1074198457
604134312 1071170195	3143432781 1074184766
271016108 1071674277	1405430068 1074116279
2419886944 1072167607	247188220 1074070686
1726124480 1072296617	1301915746 1073955617
65082148 1072656169	2482640104 1073838561
1831832776 1072804873	3144721989 1073757472
85834544 1073344620	1550929662 1073340691
175160334 1073350158	1173463814 1073335941
2144078108 1072211441	1580313237 1074543902
884419192 1071368163	849405539 1074830718
804263512 1071264211	3179651631 1074836957
714391386 1070057443	941886611 1074884572

Circle2d
Suite
170592	-263787
168118	-226033
160736	-188924
148575	-153096
131840	-119163
110820	-87703.5
85873.2	-59257.2
57426.9	-34310.5
25967.8	-13290.2
-7965.86	3444.06
-43793.5	15605.9
-80902.1	22987.3
-118657	25461.8
-156411	22987.3
-193520	15605.9
-229347	3444.06
-263281	-13290.2
-294740	-34310.5
-323186	-59257.2
-348133	-87703.5
-369154	-119163
-385888	-153096
-398050	-188924
-405431	-226033
-407906	-263787
-405431	-301542
-398050	-338650
-385888	-374478
-369154	-408412
-348133	-439871
-323186	-468317
-294740	-493264
-263281	-514284
-229347	-531018
-193520	-543180
-156411	-550561
-118657	-553036
-80902.1	-550561
-43793.5	-543180
-7965.86	-531018
25967.8	-514284
57426.9	-493264
85873.2	-468317
110820	-439871
131840	-408412
148575	-374478
160736	-338650
168118	-301542

Circle2d
Suite:BIN
822956894 1090835202	1277571506 3239057836
2904091204 1090815405	581862775 3238762372
3666548710 1090756354	2592428190 3238465503
430031686 1090659060	2156791972 3238178882
668679237 1090525186	4275201358 3237812137
1208470194 1090195007	74550152 3237308792
3112700480 1089795859	3946659992 3236753190
1433026060 1089210974	3460153272 3235954895
3243316480 1087986676	4219572256 3234460950
525757344 3233750493	2208006144 1084942368
197651798 3236258352	796666368 1087273716
372662363 3237199969	2888607712 1087795920
24255547 3237804042	3419402416 1087954292
1985408010 3238205401	2888607728 1087795920
4269809893 3238502269	796666400 1087273716
410478813 3238788891	2208006272 1084942368
1288576878 3239055812	4219572224 3234460950
3412481503 3239181648	3460153256 3235954895
4011528367 3239295433	3946659988 3236753190
3535470795 3239395220	74550148 3237308792
346467393 3239479302	4275201350 3237812137
227143617 3239546239	2156791966 3238178882
1845402130 3239594886	2592428183 3238465503
3611657025 3239624411	581862771 3238762372
423606221 3239634310	1277571506 3239057836
3611657026 3239624411	2264211622 3239208854
1845402131 3239594886	3406412564 3239357288
227143620 3239546239	1476747025 3239500599
346467394 3239479302	412600848 3239636334
3535470798 3239395220	2536505472 3239762170
4011528369 3239295433	3135552336 3239875955
3412481506 3239181648	2659494766 3239975742
1288576881 3239055812	3765458660 3240059823
410478822 3238788891	1823067442 3240113300
4269809902 3238502269	484713051 3240137624
1985408021 3238205401	3515324146 3240152386
24255552 3237804042	4068782392 3240157335
372662394 3237199969	3515324147 3240152386
197651824 3236258352	484713051 3240137624
525757536 3233750493	1823067444 3240113300
3243316416 1087986676	3765458663 3240059823
1433026028 1089210974	2659494770 3239975742
3112700464 1089795859	3135552342 3239875955
1208470188 1090195007	2536505477 3239762170
668679230 1090525186	412600856 3239636334
430031680 1090659060	1476747035 3239500599
3666548708 1090756354	3406412570 3239357288
2904091202 1090815405	2264211630 3239208854

maxCircleInPolygon: failed after checkout
Suite
2.55217	-2.85949
2.65089	-2.8465
3.09019	-2.80562
3.52281	-2.74572
3.65702	-2.70271
3.81643	-2.39132
3.90951	-2.21111
3.94065	-2.13799
4.00219	-2.02668
4.05717	-1.93729
4.39073	-1.22294
4.66417	-0.697944
4.67542	-0.673224
4.69379	-0.62463
5.08393	0.422178
5.05076	0.599902
4.90145	1.16072
4.82796	1.45247
4.82555	1.46073
4.82507	1.462
4.72466	1.81887
4.72	1.84423
4.69727	1.93111
4.66504	2.03895
4.60172	2.25157
4.59784	2.2705
4.57551	2.29297
4.5384	2.39245
4.52834	2.41486
4.48338	2.4545
4.42114	2.52113
4.26886	2.73263
4.18735	2.83763
4.08294	2.94977
3.89627	3.14768
3.82661	3.14786
3.78405	3.14939
3.72675	3.14625
2.79376	3.09895
2.49279	2.9864
2.46555	2.92076
2.46453	2.89232
2.29426	2.7182
2.19975	2.61994
2.23065	2.57847
2.18468	2.5524
2.07962	2.54564
2.02648	2.54165
1.5952	2.5305
1.58844	2.52984
1.58766	2.52915
1.58676	2.5278
1.94833	2.51664
1.57367	2.4043
1.48403	2.30217
1.30718	2.28071
1.19983	2.17821
1.19959	2.167
1.20212	2.16599
1.19997	2.15967
1.15207	1.98441
1.17292	1.96949
1.16609	1.91121
1.12971	1.89362
1.14094	1.86497
1.1376	1.78422
1.13841	1.74117
1.16559	1.71885
1.17136	1.69262
1.16055	1.63958
1.13075	1.62124
1.11024	1.55195
1.1082	1.52155
1.06606	1.35259
1.06871	1.34592
1.14986	1.24464
1.14696	1.21268
1.11017	1.18196
1.05621	1.16729
1.03376	1.12508
1.03701	1.11128
1.02959	0.897776
0.972596	0.849519
0.931541	0.842098
0.948242	0.745283
0.926146	0.560732
0.915744	0.327733
0.896633	0.257329
0.953496	-0.266511
0.954192	-0.27312
0.955571	-0.284289
0.956338	-0.285368
0.957451	-0.291843
1.03902	-0.492098
1.09071	-0.662572
1.15574	-0.774646
1.2197	-0.803112
1.23989	-0.81818
1.26107	-0.830114
1.24694	-0.86306
1.2596	-0.875509
1.32258	-0.896944
1.3999	-0.920905
1.39987	-0.932848
1.45101	-0.9663
1.45065	-0.988898
1.46709	-1.0117
1.465	-1.06653
1.48243	-1.10249
1.58768	-1.13804
1.62517	-1.1421
1.63119	-1.14788
1.63266	-1.16518
1.67737	-1.28407
1.68363	-1.34879
1.7302	-1.48582
1.73308	-1.5384
1.75916	-1.6071
1.75885	-1.73802
1.80547	-1.77567
1.82755	-1.78342
1.84187	-1.81895
1.86147	-1.83747
1.99709	-1.87421
1.99955	-1.9885
2.02712	-2.11115
2.0277	-2.28277
2.22891	-2.31433
2.25864	-2.34921
2.31959	-2.63905
2.33034	-2.68047
2.33512	-2.69585
2.33459	-2.79949
2.34476	-2.81796
2.37885	-2.85755
2.40765	-2.88823

Suite:BIN
2491583723 1074031320	1595254278 3221676093
1151117481 1074083077	1990793126 3221669279
3022643305 1074313398	129356715 3221647849
1450244271 1074540213	1051278146 3221616446
4256067953 1074610577	4072004879 3221593895
919471652 1074694158	3956819958 3221430636
1731119060 1074742957	2629817155 3221336155
2331269670 1074759285	39790558 3221297819
1070891198 1074790973	3828324325 3221239459
3830740207 1074805387	785866612 3221159718
1554910728 1074892826	118844153 3220410661
504925993 1074964509	3762197040 3219543438
1775251061 1074967458	4079804758 3219491597
3162203726 1074972271	141841528 3219389689
1680492300 1075074546	707436632 1071318263
2939306072 1075065851	218305156 1071854182
335452491 1075026709	4288396450 1072861776
101181335 1075007446	358509424 1073167693
4211931473 1075006811	1967244360 1073176358
534450925 1075006686	3645318647 1073177687
1112112103 1074980366	4126568253 1073551892
352693861 1074979144	451495841 1073578490
2988502353 1074973184	2072374947 1073669585
1904254915 1074964735	3649576297 1073762243
3757507557 1074948136	3576675696 1073873716
1587212114 1074947120	2517656465 1073883645
1531157767 1074941265	2392689930 1073895426
3796472336 1074931538	2712644243 1073947581
3879477911 1074928899	16979010 1073959330
3786456698 1074917114	2799457643 1073980110
3158766211 1074900799	3305317253 1074015045
140043125 1074860881	80511562 1074125932
1268477193 1074839512	3167796364 1074180984
2743939004 1074812141	3569710714 1074239776
1816129748 1074736017	2924000456 1074343536
1558322435 1074699494	3186214133 1074343632
1122038659 1074677180	3895360536 1074344434
2385763264 1074647139	3352633883 1074342790
1079955046 1074157984	2680290506 1074317988
646483447 1074000186	1229746794 1074258983
3986808719 1073985907	2981688765 1074224567
1120637716 1073985373	1638996492 1074209654
856955565 1073896101	2486853697 1074118367
4276626376 1073846549	2380697267 1074066852
2557462975 1073862750	3446248761 1074045107
411353641 1073838651	339830330 1074031441
1249323599 1073783566	766995001 1074027894
4289401642 1073755705	3933508959 1074025803
280889811 1073317362	3595705100 1074019960
3735531663 1073310275	428496432 1074019613
2535530006 1073309452	3968167417 1074019251
1742978584 1073308514	3681467838 1074018541
226131273 1073687640	4184794409 1074012691
3576835262 1073294789	1565512368 1073953793
99134486 1073200792	1768649470 1073900250
855242119 1073015353	3713471634 1073888995
3385383725 1072902789	3590560794 1073835255
3371126377 1072902535	3914658525 1073829378
3474325581 1072905190	2139499858 1073828849
1802866813 1072902933	4164876423 1073825535
2893359809 1072852709	2381767750 1073725472
2666376712 1072874566	1570747659 1073709827
218805653 1072867405	3944940181 1073648716
962790087 1072829260	1467433970 1073630271
980287740 1072841029	3723358660 1073600231
508801906 1072837534	2117242628 1073515560
1433472163 1072838383	860519385 1073470417
4026907115 1072866885	2352045431 1073447020
171474755 1072872931	268036687 1073419509
1814410516 1072861595	3082931806 1073363891
1993989251 1072830348	2950835521 1073344667
1284884186 1072808845	2803742330 1073272014
3687915839 1072806706	2010644986 1073240130
466272291 1072762514	744355572 1073062965
3205851746 1072765298	3638671385 1073055969
2094995533 1072850388	1465152502 1072949771
1894384764 1072847345	880970551 1072916262
2802905166 1072808765	2889229315 1072884045
2596501336 1072752192	2742698323 1072868661
3592671103 1072728652	2851700430 1072824402
1191032908 1072732054	2642354583 1072809928
3189184223 1072724279	2371382734 1072478868
2531186318 1072635778	3037205459 1072377666
4203730780 1072549679	2831835026 1072362102
712888486 1072584704	2639615158 1072159067
2670913374 1072538364	4517110 1071772036
3060637606 1072516549	3990369972 1070922131
4194681950 1072476470	32156124 1070626836
1685240388 1072595722	547638076 3218148996
564840220 1072597182	144930432 3218176717
3169695400 1072600073	2716515344 3218223560
2500915674 1072601681	1398958848 3218228087
1374843512 1072604017	900772072 3218255245
1333938046 1072734162	2627893376 3219095176
2458285212 1072788360	2024643840 3219469257
1500591378 1072856554	785121698 3219704294
1306447219 1072923623	3005681332 3219763992
243054363 1072944790	499631842 3219795591
147388759 1072966998	1208324166 3219820618
2019655220 1072952187	3112163706 3219889712
4247277322 1072965454	1231320674 3219915819
4028866605 1073031499	2204273084 3219960772
4188992858 1073112569	3448378158 3220011020
294966097 1073112545	2007551400 3220036068
3846515163 1073166163	3471374664 3220106221
3616798370 1073165785	2543776716 3220153612
2396384077 1073183028	2844216078 3220189159
2990653878 1073180838	773256393 3220246662
465277521 1073199115	3964243072 3220284360
4224026747 1073309469	4118279147 3220321639
2722472413 1073348781	4123780972 3220325896
3621815583 1073355101	1828257679 3220331961
2932532515 1073356640	2956847176 3220350094
775079509 1073403524	812299278 3220474763
1048195817 1073410089	3534876 3220542624
2364055068 1073458917	1269378867 3220686318
829505718 1073461941	1918359253 3220741446
2359794584 1073489287	96499587 3220813484
3360902831 1073488961	1020436478 3220950769
1059992404 1073537849	3461469879 3220990243
2076679066 1073560993	4276448871 3220998369
1170461464 1073576013	2150409563 3221035625
1079558297 1073596561	418247884 3221055052
2088177900 1073738776	1101508569 3221093571
1351706727 1073741353	196062181 3221213415
361850121 1073756040	543815692 3221283747
3810754516 1073756344	1722815583 3221373724
1652207668 1073861836	1349730475 3221390273
1168959807 1073877427	2598378292 3221408558
1065777864 1073909381	2700133897 3221560516
4199117040 1073915017	1580637121 3221582235
1018512610 1073917523	1883733469 3221590298
3836739831 1073917247	4042604715 3221644636
2923281817 1073922576	1584296306 3221654316
3064800159 1073940448	4233551857 3221675072
2797453672 1073955550	1475225921 3221691161

Circle2d
Suite
4.92883	0.364107
4.91184	0.623354
4.86115	0.878165
4.77764	1.12418
4.66273	1.35719
4.51839	1.57321
4.34709	1.76854
4.15176	1.93984
3.93574	2.08418
3.70273	2.19909
3.45672	2.2826
3.20191	2.33328
2.94266	2.35027
2.68341	2.33328
2.4286	2.2826
2.18259	2.19909
1.94958	2.08418
1.73356	1.93984
1.53823	1.76854
1.36693	1.57321
1.22259	1.35719
1.10768	1.12418
1.02417	0.878165
0.973487	0.623354
0.956495	0.364107
0.973487	0.104861
1.02417	-0.14995
1.10768	-0.395966
1.22259	-0.628976
1.36693	-0.844994
1.53823	-1.04032
1.73356	-1.21162
1.94958	-1.35596
2.18259	-1.47087
2.4286	-1.55438
2.68341	-1.60507
2.94266	-1.62206
3.20191	-1.60507
3.45672	-1.55438
3.70273	-1.47087
3.93574	-1.35596
4.15176	-1.21162
4.34709	-1.04032
4.51839	-0.844994
4.66273	-0.628976
4.77764	-0.395966
4.86115	-0.14995
4.91184	0.104861

Circle2d
Suite:BIN
2991117924 1075033886	1823577518 1071074697
1562458840 1075029432	2484031740 1071903364
2494292914 1075016145	3999388173 1072437741
2954267948 1074994253	3062510191 1072823460
1122851808 1074964131	2860822893 1073067789
3026173031 1074926293	1239466552 1073294301
1839907531 1074881388	3882135305 1073499119
3326723991 1074830183	37262715 1073678741
3169158856 1074756711	2654439855 1073785957
1122518857 1074634547	2022304839 1073846202
1664852629 1074505564	1102354770 1073889986
212271697 1074371970	3533653918 1073916559
356081863 1074236050	2096004791 1073925468
499892030 1074100130	3533653918 1073916559
3342278393 1073966535	1102354771 1073889986
3884612165 1073837552	2022304839 1073846202
3675944333 1073688952	2654439856 1073785957
1002333377 1073462441	37262718 1073678741
2654631919 1073257622	3882135306 1073499119
2204537213 1073078001	1239466554 1073294301
1227887514 1072926651	2860822896 1073067789
2492157547 1072806161	3062510196 1072823460
37090387 1072718594	3999388186 1072437741
3233886070 1072637645	2484031747 1071903364
394547988 1072602011	1823577522 1071074697
3233886066 1072637645	3306300908 1069209638
37090385 1072718594	113308008 3217240466
2492157543 1072806161	12951124 3218691968
1227887511 1072926651	3898068266 3219398801
2204537207 1073078001	655355579 3219851825
2654631914 1073257622	822862897 3220219179
1002333372 1073462441	1272957606 3220398800
3675944328 1073688952	2249607305 3220550150
3884612161 1073837552	985337272 3220670640
3342278389 1073966535	3440404431 3220758207
499892025 1074100130	4008035432 3220811354
356081862 1074236050	1132737177 3220829172
212271690 1074371970	4008035434 3220811354
1664852626 1074505564	3440404434 3220758207
1122518854 1074634547	985337276 3220670640
3169158852 1074756711	2249607311 3220550150
3326723989 1074830183	1272957613 3220398800
1839907529 1074881388	822862908 3220219179
3026173031 1074926293	655355597 3219851825
1122851807 1074964131	3898068293 3219398801
2954267946 1074994253	12951196 3218691968
2494292913 1075016145	113308096 3217240466
1562458839 1075029432	3306300668 1069209638

The thread 'RPC Callback Thread' (0x173c) has exited with code 0 (0x0).
The thread '_TppWorkerThread@4' (0x550) has exited with code 0 (0x0).
maxCircleInPolygon: failed after checkout
Suite
2.05106	0.28112
1.55975	0.425864
1.30659	0.447697
1.19552	0.500238
1.17132	0.518755
1.15732	0.524999
1.01508	0.555872
1.00366	0.561981
0.958152	0.60604
0.887281	0.649806
0.836542	0.61287
0.761094	0.701857
0.670385	0.741399
0.355276	0.953694
0.351233	0.957127
0.344883	0.960153
0.315427	0.957453
0.025309	0.901876
-0.112069	0.868269
-0.182121	0.879752
-0.207941	0.869736
-0.219353	0.86303
-0.250448	0.85202
-0.595662	0.903465
-0.678369	0.91558
-0.876449	0.891137
-1.30931	0.841688
-1.63829	0.768704
-1.75414	0.717617
-1.8317	0.64379
-1.89826	0.583233
-2.64635	-0.159569
-2.85663	-0.369832
-2.96008	-0.515405
-3.03991	-0.842409
-3.15253	-1.30417
-3.17265	-1.44339
-3.19698	-1.4776
-3.20177	-1.50021
-3.21187	-1.57134
-3.23108	-1.90634
-3.15796	-1.93138
-2.74513	-2.0918
-2.6826	-2.11461
-2.20268	-2.27778
-1.95419	-2.3745
-1.90925	-2.3882
-1.8726	-2.39957
-1.79104	-2.42769
-1.76898	-2.4297
-1.49033	-2.44523
-1.22127	-2.39405
-0.840406	-2.30161
-0.67627	-2.25461
-0.547807	-2.22387
-0.364318	-2.17511
0.0970828	-2.05253
0.402597	-1.97135
0.496159	-1.95951
0.537651	-1.94447
0.691803	-1.89048
0.748237	-1.87278
0.786775	-1.85319
0.84801	-1.84327
0.868736	-1.81334
0.89471	-1.78623
0.966302	-1.77346
1.02337	-1.71023
1.08372	-1.60542
1.23047	-1.37274
1.23849	-1.35611
1.24122	-1.3512
1.24389	-1.33832
1.24839	-1.32862
1.36669	-0.922444
1.45939	-0.685739
1.5916	-0.564277
1.73318	-0.402625
1.91258	-0.217267
1.93738	-0.164459
1.94856	-0.128227
1.9829	-0.0307086
2.08461	0.271973

Suite:BIN
